(s, ns, GiB/s):
  0,                0.000,             1239.560,     18.465
  1,                0.000,             1183.990,     19.331
  2,                0.000,             1179.220,     19.410
  3,                0.000,             1176.950,     19.447
  4,                0.000,             1179.500,     19.405
  5,                0.000,             1178.020,     19.429
  6,                0.000,             1178.130,     19.428
  7,                0.000,             1177.130,     19.444
  8,                0.000,             1176.830,     19.449
  9,                0.000,             1181.140,     19.378
 10,                0.000,             1176.570,     19.453
 11,                0.000,             1175.970,     19.463
 12,                0.000,             1177.150,     19.444
 13,                0.000,             1364.500,     16.774
 14,                0.000,             1193.870,     19.171
 15,                0.000,             1191.160,     19.215
 16,                0.000,             1190.560,     19.225
 17,                0.000,             1192.590,     19.192
 18,                0.000,             1191.660,     19.207
 19,                0.000,             1192.620,     19.192
 20,                0.000,             1191.070,     19.216
 21,                0.000,             1191.500,     19.210
 22,                0.000,             1191.710,     19.206
 23,                0.000,             1191.530,     19.209
 24,                0.000,             1190.190,     19.231
 25,                0.000,             1191.750,     19.206
 26,                0.000,             1191.560,     19.209
 27,                0.000,             1190.050,     19.233
 28,                0.000,             1191.610,     19.208
 29,                0.000,             1190.790,     19.221
 30,                0.000,             1191.920,     19.203
 31,                0.000,             1192.360,     19.196
 32,                0.000,             1188.920,     19.251

1175.970, 1364.500, 1193.396, 32.722, 2.742 %

Delta(min, max)   = 188.530
Delta(amean, min) = 17.426
Delta(amean, max) = 171.104


(cycles, CPIt, CPI):
  0,             2101.110,                0.684,                0.137
  1,             2089.340,                0.680,                0.136
  2,             2086.410,                0.679,                0.136
  3,             2087.050,                0.679,                0.136
  4,             2293.070,                0.746,                0.149
  5,             1856.450,                0.604,                0.121
  6,             1853.270,                0.603,                0.121
  7,             1960.880,                0.638,                0.128
  8,             1726.240,                0.562,                0.112
  9,             1718.180,                0.559,                0.112
 10,             1717.580,                0.559,                0.112
 11,             1716.550,                0.559,                0.112
 12,             1712.720,                0.558,                0.112
 13,             1718.110,                0.559,                0.112
 14,             1712.580,                0.557,                0.111
 15,             1716.270,                0.559,                0.112
 16,             1713.180,                0.558,                0.112
 17,             1715.630,                0.558,                0.112
 18,             1716.290,                0.559,                0.112
 19,             1711.930,                0.557,                0.111
 20,             1716.930,                0.559,                0.112
 21,             1718.250,                0.559,                0.112
 22,             1713.670,                0.558,                0.112
 23,             1714.040,                0.558,                0.112
 24,             1714.030,                0.558,                0.112
 25,             1714.700,                0.558,                0.112
 26,             1716.470,                0.559,                0.112
 27,             1715.270,                0.558,                0.112
 28,             1713.590,                0.558,                0.112
 29,             1715.840,                0.559,                0.112
 30,             1714.010,                0.558,                0.112
 31,             1713.970,                0.558,                0.112
 32,             1716.370,                0.559,                0.112

1711.930, 2293.070, 1794.545, 157.195, 8.760 %

Delta(min, max)   = 581.140
Delta(amean, min) = 82.615
Delta(amean, max) = 498.525
