(s, ns, GiB/s):
  0,                0.000,            12695.930,     15.023
  1,                0.000,            12741.090,     14.970
  2,                0.000,            12538.800,     15.212
  3,                0.000,            11630.980,     16.399
  4,                0.000,            11138.230,     17.124
  5,                0.000,            11059.920,     17.246
  6,                0.000,            11057.770,     17.249
  7,                0.000,            11267.400,     16.928
  8,                0.000,            11056.180,     17.251
  9,                0.000,            11060.310,     17.245
 10,                0.000,            11150.040,     17.106
 11,                0.000,            11074.510,     17.223
 12,                0.000,            11058.540,     17.248
 13,                0.000,            11147.530,     17.110
 14,                0.000,            11081.330,     17.212
 15,                0.000,            11077.570,     17.218
 16,                0.000,            11150.990,     17.105
 17,                0.000,            11074.560,     17.223
 18,                0.000,            11065.660,     17.237
 19,                0.000,            11132.210,     17.134
 20,                0.000,            11054.340,     17.254
 21,                0.000,            11059.810,     17.246
 22,                0.000,            11145.880,     17.113
 23,                0.000,            11057.440,     17.249
 24,                0.000,            11052.800,     17.257
 25,                0.000,            11116.730,     17.157
 26,                0.000,            11052.230,     17.258
 27,                0.000,            11049.560,     17.262
 28,                0.000,            11116.630,     17.158
 29,                0.000,            11071.450,     17.228
 30,                0.000,            11051.400,     17.259
 31,                0.000,            11116.530,     17.158
 32,                0.000,            11066.420,     17.235

11049.560, 12741.090, 11250.629, 464.796, 4.131 %

Delta(min, max)   = 1691.530
Delta(amean, min) = 201.069
Delta(amean, max) = 1490.461


(cycles, CPIt, CPI):
  0,            20001.370,                0.781,                0.156
  1,            20052.770,                0.783,                0.157
  2,            19877.960,                0.776,                0.155
  3,            19853.830,                0.776,                0.155
  4,            20035.940,                0.783,                0.157
  5,            19909.420,                0.778,                0.156
  6,            19879.460,                0.777,                0.155
  7,            20011.730,                0.782,                0.156
  8,            19889.350,                0.777,                0.155
  9,            19882.160,                0.777,                0.155
 10,            20014.560,                0.782,                0.156
 11,            19870.520,                0.776,                0.155
 12,            19874.530,                0.776,                0.155
 13,            20009.370,                0.782,                0.156
 14,            19878.710,                0.777,                0.155
 15,            19880.390,                0.777,                0.155
 16,            19982.920,                0.781,                0.156
 17,            19886.290,                0.777,                0.155
 18,            19891.480,                0.777,                0.155
 19,            20009.720,                0.782,                0.156
 20,            19907.070,                0.778,                0.156
 21,            19878.610,                0.777,                0.155
 22,            20004.950,                0.781,                0.156
 23,            19885.480,                0.777,                0.155
 24,            19885.640,                0.777,                0.155
 25,            20015.230,                0.782,                0.156
 26,            19893.200,                0.777,                0.155
 27,            19851.570,                0.775,                0.155
 28,            19976.310,                0.780,                0.156
 29,            19865.690,                0.776,                0.155
 30,            19877.250,                0.776,                0.155
 31,            19999.770,                0.781,                0.156
 32,            19872.770,                0.776,                0.155

19851.570, 20052.770, 19927.455, 65.120, 0.327 %

Delta(min, max)   = 201.200
Delta(amean, min) = 75.885
Delta(amean, max) = 125.315
