(s, ns, GiB/s):
  0, 0.002, 1927522.300, 1.484
  1, 0.002, 1926676.540, 1.485
  2, 0.002, 1926533.080, 1.485
  3, 0.002, 1926552.440, 1.485
  4, 0.002, 1926490.880, 1.485
  5, 0.002, 1926801.380, 1.485
  6, 0.002, 1926516.050, 1.485
  7, 0.002, 1926507.040, 1.485
  8, 0.002, 1926554.660, 1.485
  9, 0.002, 1926560.560, 1.485
 10, 0.002, 1926607.710, 1.485
 11, 0.002, 1926516.200, 1.485
 12, 0.002, 1926485.840, 1.485
 13, 0.002, 1926508.770, 1.485
 14, 0.002, 1926695.040, 1.485
 15, 0.002, 1926492.520, 1.485
 16, 0.002, 1926736.900, 1.485
 17, 0.002, 1926630.810, 1.485
 18, 0.002, 1927108.030, 1.485
 19, 0.002, 1926597.230, 1.485
 20, 0.002, 1926514.180, 1.485
 21, 0.002, 1926575.130, 1.485
 22, 0.002, 1926655.990, 1.485
 23, 0.002, 1926643.520, 1.485
 24, 0.002, 1926985.110, 1.485
 25, 0.002, 1926686.300, 1.485
 26, 0.002, 1926575.520, 1.485
 27, 0.002, 1926718.030, 1.485
 28, 0.002, 1926513.510, 1.485
 29, 0.002, 1926524.200, 1.485
 30, 0.002, 1927139.650, 1.485
 31, 0.002, 1926561.380, 1.485
 32, 0.002, 1926509.950, 1.485

1926485.840, 1927522.300, 1926657.468, 227.086, 0.012 %

Delta(min, max)   = 1036.460
Delta(amean, min) = 171.628
Delta(amean, max) = 864.832


(cycles, CPIt, CPI):
  0, 3468444.260, 9.032, 1.806
  1, 3467952.870, 9.031, 1.806
  2, 3467861.620, 9.031, 1.806
  3, 3467940.810, 9.031, 1.806
  4, 3468585.200, 9.033, 1.807
  5, 3467860.870, 9.031, 1.806
  6, 3468224.490, 9.032, 1.806
  7, 3467857.720, 9.031, 1.806
  8, 3468177.120, 9.032, 1.806
  9, 3467782.340, 9.031, 1.806
 10, 3467969.760, 9.031, 1.806
 11, 3468811.250, 9.033, 1.807
 12, 3468129.320, 9.032, 1.806
 13, 3468121.860, 9.032, 1.806
 14, 3467980.260, 9.031, 1.806
 15, 3467888.070, 9.031, 1.806
 16, 3468773.690, 9.033, 1.807
 17, 3468251.970, 9.032, 1.806
 18, 3468131.090, 9.032, 1.806
 19, 3467812.920, 9.031, 1.806
 20, 3467843.960, 9.031, 1.806
 21, 3469168.990, 9.034, 1.807
 22, 3467958.120, 9.031, 1.806
 23, 3467826.970, 9.031, 1.806
 24, 3467821.100, 9.031, 1.806
 25, 3467773.220, 9.031, 1.806
 26, 3467862.100, 9.031, 1.806
 27, 3468087.270, 9.031, 1.806
 28, 3468873.790, 9.034, 1.807
 29, 3467984.020, 9.031, 1.806
 30, 3467801.120, 9.031, 1.806
 31, 3467996.900, 9.031, 1.806
 32, 3468023.250, 9.031, 1.806

3467773.220, 3469168.990, 3468108.433, 357.935, 0.010 %

Delta(min, max)   = 1395.770
Delta(amean, min) = 335.213
Delta(amean, max) = 1060.557
