(s, ns, GiB/s):
  0, 0.000, 15602.336, 1.467
  1, 0.000, 15267.062, 1.499
  2, 0.000, 15276.326, 1.498
  3, 0.000, 15270.282, 1.499
  4, 0.000, 15261.956, 1.500
  5, 0.000, 15265.421, 1.499
  6, 0.000, 15265.506, 1.499
  7, 0.000, 15262.236, 1.500
  8, 0.000, 15268.074, 1.499
  9, 0.000, 15262.436, 1.500
 10, 0.000, 15265.956, 1.499
 11, 0.000, 15265.380, 1.499
 12, 0.000, 15262.219, 1.500
 13, 0.000, 15265.983, 1.499
 14, 0.000, 15262.308, 1.500
 15, 0.000, 15265.964, 1.499
 16, 0.000, 15264.394, 1.499
 17, 0.000, 15267.799, 1.499
 18, 0.000, 15266.407, 1.499
 19, 0.000, 15262.046, 1.500
 20, 0.000, 15265.998, 1.499
 21, 0.000, 15262.241, 1.500
 22, 0.000, 15265.965, 1.499
 23, 0.000, 15266.473, 1.499
 24, 0.000, 15262.244, 1.500
 25, 0.000, 15266.697, 1.499
 26, 0.000, 15262.231, 1.500
 27, 0.000, 15265.875, 1.499
 28, 0.000, 15262.237, 1.500
 29, 0.000, 15267.334, 1.499
 30, 0.000, 15265.443, 1.499
 31, 0.000, 15262.556, 1.500
 32, 0.000, 15265.619, 1.499

15261.956, 15602.336, 15275.485, 58.750, 0.385 %

Delta(min, max)   = 340.380
Delta(amean, min) = 13.529
Delta(amean, max) = 326.851


(cycles, CPIt, CPI):
  0, 27475.204, 8.944, 1.789
  1, 27483.057, 8.946, 1.789
  2, 27473.935, 8.943, 1.789
  3, 27480.624, 8.946, 1.789
  4, 27480.608, 8.946, 1.789
  5, 27473.429, 8.943, 1.789
  6, 27479.704, 8.945, 1.789
  7, 27473.175, 8.943, 1.789
  8, 27480.764, 8.946, 1.789
  9, 27482.246, 8.946, 1.789
 10, 27498.132, 8.951, 1.790
 11, 27480.398, 8.945, 1.789
 12, 27473.834, 8.943, 1.789
 13, 27480.349, 8.945, 1.789
 14, 27473.544, 8.943, 1.789
 15, 27480.403, 8.945, 1.789
 16, 27480.572, 8.945, 1.789
 17, 27474.063, 8.943, 1.789
 18, 27482.395, 8.946, 1.789
 19, 27473.250, 8.943, 1.789
 20, 27479.404, 8.945, 1.789
 21, 27473.276, 8.943, 1.789
 22, 27480.872, 8.946, 1.789
 23, 27483.000, 8.946, 1.789
 24, 27475.169, 8.944, 1.789
 25, 27480.996, 8.946, 1.789
 26, 27475.431, 8.944, 1.789
 27, 27481.052, 8.946, 1.789
 28, 27480.669, 8.946, 1.789
 29, 27473.974, 8.943, 1.789
 30, 27480.769, 8.946, 1.789
 31, 27474.081, 8.943, 1.789
 32, 27480.675, 8.946, 1.789

27473.175, 27498.132, 27478.759, 4.952, 0.018 %

Delta(min, max)   = 24.957
Delta(amean, min) = 5.584
Delta(amean, max) = 19.373
